Folder,Video,mIoU,mDice
1,1,0.8291,0.9032
1,4,0.8776,0.9332
1,9,0.8279,0.9038
1,FOLDER_TOTAL,0.8449,0.9134
2,10,0.6918,0.7899
2,13,0.8150,0.8933
2,4,0.7713,0.8624
2,FOLDER_TOTAL,0.7594,0.8485
3,16,0.3833,0.4262
3,19,0.5147,0.6502
3,21,0.8347,0.9067
3,FOLDER_TOTAL,0.5776,0.6610
4,1,0.2658,0.3422
4,12,0.5003,0.6318
4,2,0.3336,0.4241
4,FOLDER_TOTAL,0.3666,0.4660
5,10,0.3543,0.4346
5,11,0.2246,0.2443
5,6,0.5799,0.6021
5,FOLDER_TOTAL,0.3863,0.4270
6,13,0.7920,0.8673
6,2,0.7194,0.8206
6,5,0.8765,0.9274
6,FOLDER_TOTAL,0.7960,0.8718
7,15,0.6926,0.7874
7,18,0.8088,0.8793
7,21,0.5674,0.6750
7,FOLDER_TOTAL,0.6896,0.7806
8,2,0.7625,0.8404
8,7,0.7337,0.8290
8,9,0.5338,0.6486
8,FOLDER_TOTAL,0.6767,0.7727
9,16,0.4196,0.5520
9,17,0.6134,0.7281
9,18,0.8615,0.9184
9,FOLDER_TOTAL,0.6315,0.7328
10,1,0.5674,0.6646
10,11,0.4223,0.4994
10,8,0.5295,0.6591
10,FOLDER_TOTAL,0.5064,0.6077
11,13,0.4355,0.5208
11,2,0.6046,0.7198
11,7,0.5149,0.6298
11,FOLDER_TOTAL,0.5183,0.6235
12,1,0.6392,0.7417
12,2,0.7710,0.8668
12,9,0.8596,0.9209
12,FOLDER_TOTAL,0.7566,0.8431
13,1,0.5719,0.6847
13,2,0.3503,0.4415
13,9,0.5794,0.6759
13,FOLDER_TOTAL,0.5005,0.6007
14,10,0.7785,0.8378
14,17,0.4911,0.5656
14,22,0.7645,0.8264
14,FOLDER_TOTAL,0.6780,0.7433
15,1,0.5518,0.6744
15,2,0.4586,0.5537
15,7,0.5723,0.6866
15,FOLDER_TOTAL,0.5276,0.6382
16,1,0.8540,0.9188
16,13,0.5722,0.6961
16,2,0.8077,0.8807
16,FOLDER_TOTAL,0.7446,0.8319
17,12,0.5701,0.6808
17,3,0.6707,0.7570
17,5,0.8412,0.9075
17,FOLDER_TOTAL,0.6940,0.7818
18,11,0.6251,0.7307
18,2,0.8745,0.9309
18,7,0.5286,0.6485
18,FOLDER_TOTAL,0.6761,0.7700
19,2,0.5132,0.6550
19,3,0.6319,0.7452
19,6,0.3647,0.3960
19,FOLDER_TOTAL,0.5033,0.5987
20,3,0.8245,0.9020
20,4,0.6707,0.7914
20,7,0.7782,0.8646
20,FOLDER_TOTAL,0.7578,0.8527
21,11,0.7059,0.8058
21,12,0.8641,0.9247
21,4,0.5383,0.6238
21,FOLDER_TOTAL,0.7028,0.7848
22,1,0.4399,0.5576
22,17,0.6233,0.7388
22,2,0.4781,0.5891
22,FOLDER_TOTAL,0.5138,0.6285
ALL,TOTAL,0.6276,0.7172
