Sigma0,Sigma1,mIoU,mDice
1.0,0.5,0.6334106060606061,0.724780303030303
1.0,0.0,0.6301742424242424,0.7234454545454545
0.5,0.5,0.6300666666666667,0.7203075757575758
1.5,0.5,0.6297651515151516,0.7239893939393939
0.5,1.0,0.6294530303030303,0.7191409090909091
1.0,1.0,0.6276424242424242,0.717210606060606
1.5,0.0,0.6259560606060606,0.7224818181818181
0.5,0.0,0.6245181818181819,0.7161166666666666
1.5,1.0,0.6233590909090909,0.7151575757575758
0.5,1.5,0.6192363636363636,0.7105924242424242
2.0,0.5,0.6177924242424242,0.7152090909090909
2.0,0.0,0.6139636363636364,0.7138651515151515
1.0,1.5,0.612139393939394,0.7028454545454546
2.0,1.0,0.6113484848484848,0.7057984848484848
1.5,1.5,0.6054015151515151,0.6977030303030303
2.0,1.5,0.5905424242424242,0.6851651515151516
